Works Sanctioned,,,,,,,,,,,
Sr. No.,Work category,Work,State,IDA,Hon'ble Members of Parliament,Constituency,Work description,Recommended date,Sanction Date,Sanction Amount ( ₹ ),Work Status
25543,Normal/Others,"WS/MP433/2025-2026/183621-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,KODERMA(DEPUTY COMMISSIONER KODARMA_IDA),Annpurna Devi,KODARMA,Construction of PCC road from R.E.O. Road Mundli Pahari to Mohan Ranas house via the main gate of the school under Power House located in Dandadih Panchayat of Jainagar Block,18-Mar-2025,20-Sep-2025,300000,Physical Inspection
25544,Normal/Others,WS/MP692/2025-2026/183624-Development of playground,Maharashtra,PUNE(DISTRICT COLLECTOR PUNE_IDA),Smt Supriya Sadanand Sule,BARAMATI,"Fitting of Paving Block at Jilha Parishad School Ground, Dhadawali (Wireless Fata), at Girim",18-Mar-2025,25-Nov-2025,995586,Physical Inspection
25545,Normal/Others,WS/MP18024/2025-2026/183625-Construction of community centers and community halls,Assam,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),GAURAV GOGOI,JORHAT,"Development of Purani Changmai Cultural Centre, Barsayak Dibrual, Borahibari GP",18-Mar-2025,06-Sep-2025,200000,Sanction
25546,Normal/Others,WS/MP18024/2025-2026/183626-Construction of community centers and community halls,Assam,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),GAURAV GOGOI,JORHAT,"Development of Sangeet Vidyalaya, Lalimchiga, Gharphalia Japihajia, Lalimchapori GP",18-Mar-2025,06-Sep-2025,200000,Vendor Identification
25547,Normal/Others,WS/MP692/2025-2026/183628-Construction of footpaths and pedestrian ways,Maharashtra,PUNE(DISTRICT COLLECTOR PUNE_IDA),Smt Supriya Sadanand Sule,BARAMATI,"Fitting of Paving Blocks at Datta Mandir Chauk, Rade Vasti, at Betwadi",18-Mar-2025,16-Feb-2026,993957,Physical Inspection
25548,Normal/Others,WS/MP692/2025-2026/183629-Lighting of public spaces,Maharashtra,PUNE(DISTRICT COLLECTOR PUNE_IDA),Smt Supriya Sadanand Sule,BARAMATI,"Installation of Solar Lamp Pole Lights at 1. Ramwadi Chauk, 2. Dattawadi Chauk, 3. Saraswati Chauk (Backward Class Settlement)",18-Mar-2025,15-Oct-2025,1000000,Physical Inspection
25549,Normal/Others,WS/MP18189/2025-2026/183631-Installation of fixed garden gym equipment,Telangana,KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA),RAMASAHAYAM RAGHURAM REDDY,KHAMMAM,"Installation of fencing and open gym at ZPHS, Yedulapuram, Khammam rural",16-Jun-2025,10-Sep-2025,300000,Sanction
25550,Normal/Others,WS/MP18024/2025-2026/183633-Construction of community centers and community halls,Assam,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),GAURAV GOGOI,JORHAT,"Construction of Janmiri Borgaon Rangamancha, Dikhowmukh GP",18-Mar-2025,09-Mar-2026,250000,Vendor Identification
25551,Normal/Others,WS/MP18024/2025-2026/183634-Construction of public libraries and reading rooms,Assam,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),GAURAV GOGOI,JORHAT,"Construction of Library Building at Thekeratol, Kowmari GP",18-Mar-2025,09-Mar-2026,250000,Vendor Identification
25552,Normal/Others,WS/MP18024/2025-2026/183635-Construction of community centers and community halls,Assam,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),GAURAV GOGOI,JORHAT,"Construction of a Community Centre at 86 no Moransinga, Hatighuli GP",18-Mar-2025,09-Mar-2026,200000,Vendor Identification
25553,Normal/Others,WS/MP18024/2025-2026/183636-Construction of boundary walls of existing public and community buildings,Assam,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),GAURAV GOGOI,JORHAT,"Construction of Boundary Wall at Phukan Phodia Public Bhawan, Mumai Tamuli GP",18-Mar-2025,09-Mar-2026,200000,Vendor Identification
25554,Normal/Others,WS/MP18024/2025-2026/183637-Construction of public libraries and reading rooms,Assam,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),GAURAV GOGOI,JORHAT,"Construction of Library at Joradhora Handique gaon, Morabojar GP",18-Mar-2025,09-Mar-2026,200000,Vendor Identification
25555,Normal/Others,WS/MP18024/2025-2026/183638-Construction of boundary walls of existing public and community buildings,Assam,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),GAURAV GOGOI,JORHAT,"Construction of Bounary wall at Dikchuk Gyanudoi ME School, Changmai, Dikchuk GP",18-Mar-2025,09-Mar-2026,200000,Vendor Identification
25556,Normal/Others,"WS/MP18078/2025-2026/183643-Purchase of smart boards, visual display units and projectors",Karnataka,BALLARI(DEPUTY COMMISSIONER BELLARY_IDA),E. TUKARAM,BELLARY(ST),"Installing a new Digital Class room in Government High School, M Tumbaraguddi village, Sandur",28-Apr-2025,14-Oct-2025,700000,Vendor Identification
25557,Normal/Others,WS/MP18024/2025-2026/183645-Construction of community centers and community halls,Assam,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),GAURAV GOGOI,JORHAT,"Construction of Jotokia Sang Suwa Bosti Arjo Saonaton Boisnab Somaj Namghar, Ward no 6, Meleng Grant, 21 no Holongapar TE GP",18-Mar-2025,25-Nov-2025,200000,Sanction
25558,Normal/Others,WS/MP18134/2025-2026/183654-Construction of community centers and community halls,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),BHAUSAHEB RAJARAM WAKCHAURE,SHIRDI(SC),To construct community Hall in G P Property No 159  1 villege Sakirwadi Taluka Akole,21-Mar-2025,15-Dec-2025,700000,Work Completed
25559,Normal/Others,WS/MP574/2025-2026/183658-Providing drains and gutters for public drainage,Gujarat,PATAN(DISTRICT COLLECTOR PATAN_IDA),Bharatsinhji Shankarji Dabhi,PATAN,baspa game baspa thi godhana jata rasta upar nala nu work,19-Mar-2025,05-Jul-2025,400000,Work Completed
25560,Normal/Others,"WS/MP574/2025-2026/183659-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,PATAN(DISTRICT COLLECTOR PATAN_IDA),Bharatsinhji Shankarji Dabhi,PATAN,dadka game thakor baldev ramshina ghar thi khatana vas taraf pavar block work,19-Mar-2025,05-Jul-2025,250000,Work Completed
25561,Normal/Others,"WS/MP574/2025-2026/183660-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,PATAN(DISTRICT COLLECTOR PATAN_IDA),Bharatsinhji Shankarji Dabhi,PATAN,bismillabad game thakor sodha harina ghar thi ramaji vistar taraf pavar block work,19-Mar-2025,05-Jul-2025,200000,Work Completed
25562,Normal/Others,"WS/MP574/2025-2026/183661-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,PATAN(DISTRICT COLLECTOR PATAN_IDA),Bharatsinhji Shankarji Dabhi,PATAN,babari (chandarani) game raval dharsinhbhai na ghar thi praimary school taraf pavar block work,19-Mar-2025,05-Jul-2025,200000,Work Completed
25563,Normal/Others,"WS/MP574/2025-2026/183662-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,PATAN(DISTRICT COLLECTOR PATAN_IDA),Bharatsinhji Shankarji Dabhi,PATAN,godhana game rabari amrut sagram na gharthi thakor ribhaji na ghar taraf pavar block work,19-Mar-2025,05-Jul-2025,200000,Work Completed
25564,Normal/Others,"WS/MP574/2025-2026/183663-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,PATAN(DISTRICT COLLECTOR PATAN_IDA),Bharatsinhji Shankarji Dabhi,PATAN,bhadrada game suthar kanubhai na ghar thi dr. ishvarbhai hospital taraf pavar block work,19-Mar-2025,05-Jul-2025,200000,Work Completed
25565,Normal/Others,"WS/MP574/2025-2026/183664-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,PATAN(DISTRICT COLLECTOR PATAN_IDA),Bharatsinhji Shankarji Dabhi,PATAN,jakhel umedapura game thakor khoda ranchhod na ghar thi thakor vagha mevana ghar taraf pavar block work,19-Mar-2025,05-Jul-2025,200000,Work Completed
25566,Normal/Others,"WS/MP574/2025-2026/183665-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,PATAN(DISTRICT COLLECTOR PATAN_IDA),Bharatsinhji Shankarji Dabhi,PATAN,thakor badarsang na gharthi dudh sagar dairy taraf pavar block work,19-Mar-2025,07-Apr-2025,199625,Physical Inspection
25567,Normal/Others,"WS/MP574/2025-2026/183666-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,PATAN(DISTRICT COLLECTOR PATAN_IDA),Bharatsinhji Shankarji Dabhi,PATAN,sankra game rudabhai amathabhai na vasna chok ma pavar block work,19-Mar-2025,07-Apr-2025,199716,Physical Inspection
25568,Normal/Others,WS/MP18156/2025-2026/183667-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),"Lane of floor at cremation ground at Kohar Khurd, Block Shahkot",21-Mar-2025,06-Jun-2025,400000,Physical Inspection
25569,Normal/Others,WS/MP18156/2025-2026/183668-Providing drains and gutters for public drainage,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),"Construction of  the drainage for sewerage water, Vill. Killi, Block Shahkot",21-Mar-2025,06-Jun-2025,500000,Physical Inspection
25570,Normal/Others,WS/MP18156/2025-2026/183669-Construction of footpaths and pedestrian ways,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),"Laying of interlock tiles in streetsVill. Mianwal Araian, Block Shahkot",21-Mar-2025,06-Jun-2025,200000,Vendor Identification
25571,Normal/Others,WS/MP18156/2025-2026/183670-Construction of footpaths and pedestrian ways,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),"Laying of interlock tiles in streets, Vill. Saidpur Jhiri, Block Shahkot",21-Mar-2025,17-Jul-2025,200000,Vendor Identification
25572,Normal/Others,"WS/MP574/2025-2026/183671-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,PATAN(DISTRICT COLLECTOR PATAN_IDA),Bharatsinhji Shankarji Dabhi,PATAN,chabkha savasada game primary school na aagalna chokma pavar block work,19-Mar-2025,07-Apr-2025,200000,Physical Inspection
25573,Normal/Others,"WS/MP574/2025-2026/183672-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,PATAN(DISTRICT COLLECTOR PATAN_IDA),Bharatsinhji Shankarji Dabhi,PATAN,bharvad nagajibhaina gharthi thakor nathabhai ni dukan taraf pavar block work,19-Mar-2025,07-Apr-2025,200000,Physical Inspection
25574,Normal/Others,WS/MP574/2025-2026/183676-Construction of common work sheds/ common covered sitting area,Gujarat,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),Bharatsinhji Shankarji Dabhi,PATAN,para vistarma jaher jagya upar shed work,19-Mar-2025,10-Jul-2025,300000,Physical Inspection
25575,Normal/Others,"WS/MP574/2025-2026/183677-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),Bharatsinhji Shankarji Dabhi,PATAN,katediya game aantarik rasta work,19-Mar-2025,17-Apr-2025,300000,Physical Inspection
25576,Trust and Society,"WS/MP18156/2025-2026/183678-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),For Purchase of Ultrasound machine,21-Mar-2025,01-Aug-2025,800000,Time Estimation
25577,Trust and Society,WS/MP574/2025-2026/183679-Construction of rooms and halls in school and colleges,Gujarat,PATAN(DISTRICT COLLECTOR PATAN_IDA),Bharatsinhji Shankarji Dabhi,PATAN,SHRI MAHARSHI VIVEKANAND EDUCATION TRUST SANCHALIT SHRI VIVEKANAND UTTAR BUNIYADI VIDHYALAY MA NAVIN HALL WORK,19-Mar-2025,28-Oct-2025,500000,Sanction
25578,Normal/Others,WS/MP574/2025-2026/183680-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Gujarat,PATAN(DISTRICT COLLECTOR PATAN_IDA),Bharatsinhji Shankarji Dabhi,PATAN,MOTI CHANDUR GAME SMASHAN MA HALL WORK FOR WOOD STOREGE,19-Mar-2025,09-May-2025,200000,Work partially Completed
25579,Normal/Others,"WS/MP574/2025-2026/183681-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Gujarat,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),Bharatsinhji Shankarji Dabhi,PATAN,VASANA GAME NAI SAMAJNI VADI NI BAJUMA FLOOD PROTECTION WALL WORK,19-Mar-2025,19-Jul-2025,300000,Physical Inspection
25580,Normal/Others,"WS/MP574/2025-2026/183682-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,PATAN(DISTRICT COLLECTOR PATAN_IDA),Bharatsinhji Shankarji Dabhi,PATAN,Sarel game chaudhary vasma pavar block work,19-Mar-2025,09-May-2025,299943,Physical Inspection
25581,Normal/Others,"WS/MP574/2025-2026/183683-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),Bharatsinhji Shankarji Dabhi,PATAN,vajapur game jaher jagyama pavar block work,19-Mar-2025,04-Jul-2025,500000,Physical Inspection
25582,Normal/Others,"WS/MP574/2025-2026/183684-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Gujarat,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),Bharatsinhji Shankarji Dabhi,PATAN,kothasana mota game desai vipulbhai na chabutara pachhal flood protection wall,19-Mar-2025,04-Jul-2025,500000,Vendor Identification
25583,Normal/Others,"WS/MP574/2025-2026/183685-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),Bharatsinhji Shankarji Dabhi,PATAN,malekpur (khe) thakor bhagaji keshajina ghar thi thakor babuji amraji na ghar taraf c c road work,19-Mar-2025,04-Jul-2025,100000,Physical Inspection
25584,Normal/Others,"WS/MP574/2025-2026/183686-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),Bharatsinhji Shankarji Dabhi,PATAN,Malekpur (Khe) game thakor bhemaji sonajina ghar thi pathuji na ghar taraf pavar block work,19-Mar-2025,04-Jul-2025,100000,Physical Inspection
25585,Normal/Others,WS/MP18222/2025-2026/183687-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,rajkumar yadav ke makan ke pas,23-Apr-2025,12-Jun-2025,20900,Physical Inspection
25586,Normal/Others,WS/MP18222/2025-2026/183688-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,Reyaj Ahamad ke makan ke pas,23-Apr-2025,11-Jun-2025,20900,Physical Inspection
25587,Normal/Others,WS/MP346/2025-2026/183689-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,MML AT KURICHIYIL JUNCTION IN MADAVOOR GRAMAPANCHAYATH,19-Mar-2025,25-Apr-2025,242517,Physical Inspection
25588,Normal/Others,WS/MP346/2025-2026/183691-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,MML AT NEAR MALACHIRA BRIDGE IN NAVAIKULAM GRAMA PANCHAYATH,19-Mar-2025,18-Dec-2025,242517,Physical Inspection
25589,Normal/Others,WS/MP346/2025-2026/183692-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,MML AT NEAR KATTUVILA THAYKAVU IN NAVAIKULAM GRAMA PANCHAYATH,19-Mar-2025,18-Dec-2025,242517,Physical Inspection
25590,Normal/Others,WS/MP346/2025-2026/183693-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,MML AT NEAR MENAPARA THAIKAVU IN NAVAIKULAM GRAMA PANCHAYATH,19-Mar-2025,18-Dec-2025,246113,Physical Inspection
25591,Normal/Others,WS/MP346/2025-2026/183695-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,MML AT MURUKAN KOVIL - KIZHAKKANELA JUNCTION IN NAVAIKULAM GRAMA PANCHAYATH,19-Mar-2025,18-Dec-2025,242517,Physical Inspection
25592,Normal/Others,WS/MP346/2025-2026/183696-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,MML AT KANAKAVILA-KANJIRAMVILA (MLA ROAD) IN NAVAIKULAM GRAMA PANCHAYATH,19-Mar-2025,18-Dec-2025,242517,Physical Inspection
25593,Normal/Others,WS/MP346/2025-2026/183698-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,MML AT NEAR VETTIYARA SREE MADAN THAMPURAN TEMPLE IN NAVAIKULAM GRAMA PANCHAYATH,19-Mar-2025,18-Dec-2025,250064,Physical Inspection
25594,Normal/Others,WS/MP346/2025-2026/183699-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,"MML AT PALAVILA JUNCTION,MENAPARA IN NAVAIKULAM GRAMA PANCHAYATH",19-Mar-2025,18-Dec-2025,242517,Physical Inspection
25595,Normal/Others,WS/MP18149/2025-2026/183700-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Ghaduala Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25596,Normal/Others,WS/MP18149/2025-2026/183701-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Deulapalli Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25597,Normal/Others,WS/MP18149/2025-2026/183702-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Jamusahi Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25598,Normal/Others,WS/MP18149/2025-2026/183703-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Khuntubandha Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25599,Normal/Others,WS/MP18149/2025-2026/183704-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Godiali  Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25600,Normal/Others,WS/MP18149/2025-2026/183705-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Aswasthapada Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25601,Normal/Others,WS/MP18149/2025-2026/183706-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Hinjalagadia Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25602,Normal/Others,WS/MP18149/2025-2026/183707-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Nadiali Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25603,Normal/Others,WS/MP18149/2025-2026/183708-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of   Pallisasan Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25604,Normal/Others,WS/MP18149/2025-2026/183709-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Udayapur Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25605,Normal/Others,WS/MP18149/2025-2026/183710-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Machhipada Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25606,Normal/Others,WS/MP18149/2025-2026/183711-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Raghunathpur Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25607,Normal/Others,WS/MP18149/2025-2026/183712-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Lenkudipada Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25608,Normal/Others,WS/MP18149/2025-2026/183713-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Dhabalei  Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25609,Normal/Others,WS/MP18149/2025-2026/183714-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Hariharpur Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25610,Normal/Others,WS/MP18149/2025-2026/183715-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Nabaghanpur Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25611,Normal/Others,WS/MP18149/2025-2026/183716-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Lekhanpur Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25612,Normal/Others,WS/MP18149/2025-2026/183717-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Ladukeswarpur Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25613,Normal/Others,WS/MP18149/2025-2026/183718-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Bhatasahi Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25614,Normal/Others,WS/MP18149/2025-2026/183719-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Dianapada Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25615,Normal/Others,WS/MP18149/2025-2026/183720-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Chandibasta Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25616,Normal/Others,WS/MP18149/2025-2026/183721-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Hatadwar Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25617,Normal/Others,WS/MP18149/2025-2026/183722-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Mankapalli  Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25618,Normal/Others,WS/MP18149/2025-2026/183723-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Tulasipur  Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25619,Normal/Others,WS/MP18149/2025-2026/183724-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Jeypore Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25620,Normal/Others,WS/MP18149/2025-2026/183725-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Muktapur Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25621,Normal/Others,WS/MP18149/2025-2026/183726-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Narasinghprasad Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25622,Normal/Others,WS/MP18149/2025-2026/183727-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Raghunath Prasad Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25623,Normal/Others,WS/MP18149/2025-2026/183728-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Jemadeipurpatana Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25624,Normal/Others,WS/MP18149/2025-2026/183729-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Lausena Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25625,Normal/Others,WS/MP18149/2025-2026/183730-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Kalikaprasad Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25626,Normal/Others,WS/MP18149/2025-2026/183731-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Chinara Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25627,Normal/Others,WS/MP18149/2025-2026/183732-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Adacher Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25628,Normal/Others,WS/MP18149/2025-2026/183733-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Nagamunduli Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
